model,checkpoint,dataset,method,temperature,miou,auprc,fpr95,num_images,num_ood_pixels,num_ind_pixels
EoMT,eomt_finetuned,RoadAnomaly21,maxlogit,1.0,,69.57143749671721,16.129666945103146,10,1317063,7578030
EoMT,eomt_finetuned,RoadAnomaly21,entropy,1.0,,68.83429912585008,14.98138698316053,10,1317063,7578030
EoMT,eomt_finetuned,RoadAnomaly21,rba,1.0,,58.43124564654474,20.511043107509472,10,1317063,7578030
EoMT,eomt_finetuned,RoadObsticle21,msp,1.0,,25.43563653062372,2.7168815100043595,30,129782,19106170
EoMT,eomt_finetuned,RoadObsticle21,maxlogit,1.0,,24.453605568870344,2.786775162159658,30,129782,19106170
EoMT,eomt_finetuned,RoadObsticle21,entropy,1.0,,24.158271028931864,2.783870341360932,30,129782,19106170
EoMT,eomt_finetuned,RoadObsticle21,rba,1.0,,18.318807018728453,3.3209952596464913,30,129782,19106170
EoMT,eomt_finetuned,RoadAnomaly,msp,1.0,,52.176485965836974,93.71364099766765,60,5446413,49849587
EoMT,eomt_finetuned,RoadAnomaly,maxlogit,1.0,,51.55369494533466,93.24204631825737,60,5446413,49849587
EoMT,eomt_finetuned,RoadAnomaly,entropy,1.0,,51.52712560576027,92.8493650308477,60,5446413,49849587
EoMT,eomt_finetuned,RoadAnomaly,rba,1.0,,47.40939161259241,79.58764633295759,60,5446413,49849587
EoMT,eomt_finetuned,fs_static,msp,1.0,,70.01144998195834,13.678174965019094,20,732524,34420206
EoMT,eomt_finetuned,fs_static,maxlogit,1.0,,71.22701538617534,13.473885077852236,20,732524,34420206
EoMT,eomt_finetuned,fs_static,entropy,1.0,,71.60368061303286,12.617245811951271,20,732524,34420206
EoMT,eomt_finetuned,fs_static,rba,1.0,,71.04355692620362,12.46134320056074,20,732524,34420206
EoMT,eomt_finetuned,FS_LostFound_full,msp,1.0,,34.33762473053539,15.927807652782612,99,477664,168408155
EoMT,eomt_finetuned,FS_LostFound_full,maxlogit,1.0,,33.917335559180536,17.21182860770608,99,477664,168408155
EoMT,eomt_finetuned,FS_LostFound_full,entropy,1.0,,34.87416868566116,23.823490614216396,99,477664,168408155
EoMT,eomt_finetuned,FS_LostFound_full,rba,1.0,,24.802463227076196,19.11074852640004,99,477664,168408155
